OTU ID	CA5	CA2	DA6	LB3	LB1	DA1	LA4	DB4	LB6	DA2	CB5	DB1	CB1	DB5	DA3	LA5	DB2	CA4	DB6	LB2	CB2	LA6	CONTROL2	LA3	CA6	CB6	LA1	CA1	LA2	CA3	LB5	CB4	LAVI	CB3	DB3	DA4	CONTROL1	LKI1	LB4	DA5
76d2032108822bcfaa90a4873f7a51aa	7102.0	4554.0	4366.0	5200.0	8236.0	10897.0	3.0	4320.0	3311.0	3443.0	5366.0	3.0	10151.0	5178.0	6502.0	1262.0	15023.0	9818.0	17005.0	4949.0	3552.0	5268.0	5871.0	4899.0	7063.0	7058.0	5510.0	16747.0	3752.0	5003.0	2240.0	5093.0	0.0	4875.0	4892.0	5475.0	5179.0	2.0	9969.0	8568.0
c5d01fbd1e4b1d8a1a943c0c2d930610	1206.0	2.0	164.0	1019.0	2.0	475.0	4680.0	0.0	0.0	0.0	837.0	982.0	0.0	407.0	0.0	0.0	0.0	0.0	0.0	64.0	28.0	6.0	0.0	2.0	0.0	0.0	0.0	1356.0	0.0	395.0	293.0	290.0	10.0	331.0	185.0	93.0	5.0	0.0	17.0	0.0
62bf37c50994a06e6c8c93355ad1caa0	1019.0	0.0	2042.0	244.0	700.0	0.0	33.0	32.0	1.0	59.0	2.0	6.0	366.0	5.0	6.0	1992.0	91.0	58.0	20.0	89.0	43.0	0.0	26.0	0.0	1844.0	0.0	1.0	5.0	0.0	0.0	7.0	0.0	1357.0	268.0	4.0	0.0	33.0	1480.0	11.0	1810.0
4672ea4f639a562525ca497b39a9f976	571.0	325.0	424.0	458.0	564.0	965.0	0.0	362.0	265.0	318.0	440.0	0.0	832.0	491.0	469.0	106.0	1504.0	702.0	1879.0	409.0	280.0	378.0	637.0	447.0	437.0	638.0	420.0	1498.0	373.0	440.0	176.0	425.0	0.0	338.0	408.0	438.0	474.0	0.0	761.0	736.0
0f2a155a57fe6d0bf34767080706b3e1	206.0	69.0	196.0	1044.0	368.0	300.0	0.0	122.0	33.0	77.0	175.0	0.0	282.0	420.0	247.0	29.0	195.0	210.0	305.0	119.0	68.0	96.0	161.0	72.0	108.0	192.0	61.0	273.0	69.0	97.0	129.0	105.0	0.0	63.0	118.0	219.0	110.0	0.0	572.0	204.0
f87def81983cb036ea2e84616fab0609	195.0	74.0	127.0	84.0	22.0	97.0	796.0	45.0	0.0	91.0	198.0	52.0	41.0	0.0	273.0	7.0	1.0	35.0	83.0	975.0	247.0	31.0	197.0	109.0	140.0	38.0	1.0	123.0	27.0	4.0	125.0	85.0	14.0	112.0	38.0	23.0	352.0	15.0	454.0	42.0
ccd043d34cee4400e781b9bce6d4c1ea	141.0	57.0	40.0	453.0	308.0	53.0	0.0	24.0	8.0	20.0	13.0	0.0	19.0	302.0	53.0	2.0	131.0	39.0	49.0	159.0	15.0	21.0	45.0	24.0	16.0	34.0	28.0	50.0	33.0	88.0	192.0	7.0	0.0	35.0	27.0	58.0	32.0	0.0	771.0	46.0
c4aad64f84f51ff331b986a67af4ed3d	141.0	117.0	63.0	12.0	0.0	10.0	1316.0	3.0	0.0	4.0	11.0	236.0	5.0	17.0	82.0	0.0	22.0	0.0	0.0	0.0	1.0	42.0	75.0	156.0	0.0	127.0	25.0	74.0	5.0	0.0	178.0	0.0	0.0	0.0	320.0	4.0	29.0	4.0	23.0	0.0
87d980b22c65ae7843e271b7561e1f23	124.0	197.0	439.0	10.0	120.0	13.0	416.0	223.0	581.0	145.0	40.0	19.0	730.0	305.0	60.0	231.0	43.0	997.0	125.0	237.0	2.0	49.0	88.0	428.0	174.0	12.0	112.0	96.0	229.0	472.0	3.0	92.0	336.0	80.0	14.0	265.0	414.0	140.0	156.0	2483.0
e467f28eeffd574c8c16a389e089a295	109.0	5.0	13.0	14.0	23.0	114.0	0.0	0.0	0.0	0.0	85.0	0.0	217.0	13.0	7.0	0.0	54.0	0.0	278.0	0.0	0.0	309.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	6.0	0.0	1.0	95.0	74.0	35.0	11.0	0.0	153.0	0.0
096f05f56ada00a7f8e492b617f07b13	92.0	68.0	34.0	5.0	5.0	0.0	0.0	159.0	2.0	2.0	0.0	0.0	0.0	3.0	27.0	33.0	3.0	7.0	11.0	16.0	4.0	0.0	7.0	77.0	1.0	90.0	0.0	3.0	0.0	2.0	3.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
01b99cb344ed2530f7d80897ffe257a9	65.0	0.0	0.0	135.0	23.0	0.0	165.0	0.0	0.0	0.0	26.0	17.0	0.0	0.0	60.0	123.0	0.0	2.0	14.0	14.0	1.0	10.0	148.0	0.0	82.0	2.0	0.0	5.0	18.0	38.0	0.0	210.0	11.0	0.0	0.0	18.0	81.0	0.0	92.0	0.0
028ecb2ed02be346c5f0347a9a3fba2a	61.0	0.0	127.0	2.0	2.0	16.0	0.0	6.0	0.0	0.0	0.0	0.0	6.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	36.0	2.0	55.0	11.0	0.0	0.0	0.0	276.0	2.0	47.0	11.0	0.0	6.0	0.0	0.0	0.0	0.0	150.0	3.0
